"Check Time" "Max Duration" "Min Duration" "Mean Duration" Errors
"23/Oct/22 03:50" " 0:00:41" " 0:00:38" " 0:00:39" 0
"23/Oct/22 04:24" " 0:00:39" " 0:00:36" " 0:00:38" 0
"23/Oct/22 04:57" " 0:00:41" " 0:00:36" " 0:00:38" 0
"23/Oct/22 05:30" " 0:00:40" " 0:00:37" " 0:00:38" 0
"23/Oct/22 06:03" " 0:00:39" " 0:00:35" " 0:00:37" 0
"23/Oct/22 06:36" " 0:00:40" " 0:00:37" " 0:00:38" 0
"23/Oct/22 07:10" " 0:00:40" " 0:00:37" " 0:00:38" 0
"23/Oct/22 07:43" " 0:00:39" " 0:00:38" " 0:00:38" 0
"23/Oct/22 08:16" " 0:00:39" " 0:00:36" " 0:00:38" 0
"23/Oct/22 08:49" " 0:00:39" " 0:00:35" " 0:00:37" 0
"23/Oct/22 09:22" " 0:00:40" " 0:00:37" " 0:00:38" 0
"23/Oct/22 09:56" " 0:00:40" " 0:00:35" " 0:00:37" 0
"23/Oct/22 10:29" " 0:00:39" " 0:00:35" " 0:00:37" 0
"23/Oct/22 11:02" " 0:00:40" " 0:00:38" " 0:00:39" 0
"23/Oct/22 11:36" " 0:00:54" " 0:00:40" " 0:00:45" 0
"23/Oct/22 12:09" " 0:00:52" " 0:00:44" " 0:00:46" 0
"23/Oct/22 12:43" " 0:00:44" " 0:00:39" " 0:00:42" 0
"23/Oct/22 13:16" " 0:00:42" " 0:00:35" " 0:00:39" 0
"23/Oct/22 13:50" " 0:00:41" " 0:00:36" " 0:00:37" 0
"23/Oct/22 14:23" " 0:00:41" " 0:00:36" " 0:00:38" 0
"23/Oct/22 14:56" " 0:00:40" " 0:00:38" " 0:00:39" 0
"23/Oct/22 15:29" " 0:00:41" " 0:00:37" " 0:00:39" 0
"23/Oct/22 16:03" " 0:00:44" " 0:00:38" " 0:00:40" 0
"23/Oct/22 16:36" " 0:00:40" " 0:00:38" " 0:00:39" 0
"23/Oct/22 17:09" " 0:00:41" " 0:00:38" " 0:00:39" 0
"23/Oct/22 17:43" " 0:00:40" " 0:00:36" " 0:00:38" 0
"23/Oct/22 18:16" " 0:00:39" " 0:00:35" " 0:00:37" 0
"23/Oct/22 18:49" " 0:00:39" " 0:00:35" " 0:00:37" 0
"23/Oct/22 19:22" " 0:00:37" " 0:00:34" " 0:00:35" 0
"23/Oct/22 19:55" " 0:00:42" " 0:00:37" " 0:00:39" 0
"23/Oct/22 20:28" " 0:00:39" " 0:00:38" " 0:00:38" 0
"23/Oct/22 21:02" " 0:00:43" " 0:00:34" " 0:00:39" 0
"23/Oct/22 21:35" " 0:00:37" " 0:00:34" " 0:00:36" 0
"23/Oct/22 22:08" " 0:00:54" " 0:00:38" " 0:00:43" 0
"23/Oct/22 22:41" " 0:00:35" " 0:00:32" " 0:00:33" 0
"23/Oct/22 23:14" " 0:00:39" " 0:00:32" " 0:00:35" 0
"23/Oct/22 23:47" " 0:00:35" " 0:00:34" " 0:00:35" 0
"24/Oct/22 00:20" " 0:00:38" " 0:00:35" " 0:00:36" 0
"24/Oct/22 00:53" " 0:00:38" " 0:00:34" " 0:00:36" 0
"24/Oct/22 01:26" " 0:00:36" " 0:00:33" " 0:00:34" 0
"24/Oct/22 01:59" " 0:00:37" " 0:00:33" " 0:00:35" 0
"24/Oct/22 02:32" " 0:00:41" " 0:00:36" " 0:00:37" 0
"24/Oct/22 03:05" " 0:00:35" " 0:00:33" " 0:00:34" 0
"24/Oct/22 03:38" " 0:00:36" " 0:00:33" " 0:00:35" 0
"24/Oct/22 04:11" " 0:00:37" " 0:00:34" " 0:00:36" 0
"24/Oct/22 04:44" " 0:00:38" " 0:00:33" " 0:00:35" 0
"24/Oct/22 05:17" " 0:00:48" " 0:00:35" " 0:00:39" 0
"24/Oct/22 05:50" " 0:00:36" " 0:00:33" " 0:00:34" 0
"24/Oct/22 06:23" " 0:00:36" " 0:00:34" " 0:00:35" 0
"24/Oct/22 06:56" " 0:00:36" " 0:00:32" " 0:00:34" 0
"24/Oct/22 07:29" " 0:00:36" " 0:00:32" " 0:00:33" 0
"24/Oct/22 08:02" " 0:00:40" " 0:00:34" " 0:00:36" 0
"24/Oct/22 08:35" " 0:00:37" " 0:00:33" " 0:00:35" 0
"24/Oct/22 09:08" " 0:00:43" " 0:00:36" " 0:00:40" 0
"24/Oct/22 09:42" " 0:00:43" " 0:00:35" " 0:00:39" 0
"24/Oct/22 10:16" " 0:00:50" " 0:00:40" " 0:00:45" 0
"24/Oct/22 10:49" " 0:00:53" " 0:00:36" " 0:00:44" 0
"24/Oct/22 11:23" " 0:00:57" " 0:00:38" " 0:00:45" 0
"24/Oct/22 11:56" " 0:00:39" " 0:00:35" " 0:00:37" 0
"24/Oct/22 12:29" " 0:00:38" " 0:00:34" " 0:00:36" 0
"24/Oct/22 13:02" " 0:00:37" " 0:00:34" " 0:00:35" 0
"24/Oct/22 13:36" " 0:00:47" " 0:00:41" " 0:00:43" 0
"26/Oct/22 12:23" " 0:01:12" " 0:00:50" " 0:00:57" 0
"26/Oct/22 12:57" " 0:00:53" " 0:00:45" " 0:00:51" 0
"26/Oct/22 13:31" " 0:00:43" " 0:00:37" " 0:00:40" 0
"26/Oct/22 15:31" " 0:04:34" " 0:02:15" " 0:03:25" 0
"26/Oct/22 16:06" " 0:00:46" " 0:00:37" " 0:00:41" 0
"26/Oct/22 16:40" " 0:00:43" " 0:00:38" " 0:00:40" 0
"26/Oct/22 17:13" " 0:00:35" " 0:00:33" " 0:00:34" 0
"26/Oct/22 17:46" " 0:00:35" " 0:00:32" " 0:00:34" 0
"26/Oct/22 18:18" " 0:00:36" " 0:00:32" " 0:00:34" 0
"26/Oct/22 18:51" " 0:00:37" " 0:00:33" " 0:00:34" 0
"26/Oct/22 19:24" " 0:00:40" " 0:00:33" " 0:00:36" 0
"26/Oct/22 19:57" " 0:00:40" " 0:00:33" " 0:00:35" 0
"26/Oct/22 20:30" " 0:00:37" " 0:00:33" " 0:00:35" 0
"26/Oct/22 21:03" " 0:00:39" " 0:00:34" " 0:00:37" 0
"26/Oct/22 21:36" " 0:00:37" " 0:00:34" " 0:00:35" 0
"26/Oct/22 22:09" " 0:00:34" " 0:00:33" " 0:00:33" 0
"26/Oct/22 22:42" " 0:00:37" " 0:00:31" " 0:00:34" 0
"26/Oct/22 23:15" " 0:00:34" " 0:00:31" " 0:00:33" 0
"26/Oct/22 23:48" " 0:00:35" " 0:00:31" " 0:00:33" 0
"27/Oct/22 00:21" " 0:00:35" " 0:00:33" " 0:00:34" 0
"27/Oct/22 00:53" " 0:00:34" " 0:00:32" " 0:00:33" 0
"27/Oct/22 01:26" " 0:00:34" " 0:00:33" " 0:00:34" 0
"27/Oct/22 01:59" " 0:00:34" " 0:00:32" " 0:00:33" 0
"27/Oct/22 02:32" " 0:00:39" " 0:00:33" " 0:00:35" 0
"27/Oct/22 03:05" " 0:00:34" " 0:00:32" " 0:00:33" 0
"27/Oct/22 03:38" " 0:00:34" " 0:00:32" " 0:00:33" 0
"27/Oct/22 04:10" " 0:00:34" " 0:00:31" " 0:00:33" 0
"27/Oct/22 04:43" " 0:00:34" " 0:00:32" " 0:00:33" 0
"27/Oct/22 05:16" " 0:00:39" " 0:00:33" " 0:00:35" 0
"27/Oct/22 05:49" " 0:00:35" " 0:00:32" " 0:00:33" 0
"27/Oct/22 06:22" " 0:00:36" " 0:00:34" " 0:00:35" 0
"27/Oct/22 06:55" " 0:00:33" " 0:00:30" " 0:00:31" 0
"27/Oct/22 07:27" " 0:00:34" " 0:00:32" " 0:00:33" 0
