"Check Time" "Max Duration" "Min Duration" "Mean Duration" Errors
"23/Oct/22 03:59" " 0:00:04" " 0:00:03" " 0:00:03" 0
"23/Oct/22 04:30" " 0:00:04" " 0:00:03" " 0:00:04" 0
"23/Oct/22 05:00" " 0:00:04" " 0:00:03" " 0:00:03" 0
"23/Oct/22 05:30" " 0:00:04" " 0:00:03" " 0:00:04" 0
"23/Oct/22 06:01" " 0:00:07" " 0:00:03" " 0:00:04" 0
"23/Oct/22 06:31" " 0:00:04" " 0:00:03" " 0:00:04" 0
"23/Oct/22 07:01" " 0:00:04" " 0:00:03" " 0:00:03" 0
"23/Oct/22 07:32" " 0:00:04" " 0:00:03" " 0:00:04" 0
"23/Oct/22 08:02" " 0:00:04" " 0:00:03" " 0:00:03" 0
"23/Oct/22 08:32" " 0:00:06" " 0:00:03" " 0:00:04" 0
"23/Oct/22 09:03" " 0:00:04" " 0:00:03" " 0:00:04" 0
"23/Oct/22 09:33" " 0:00:04" " 0:00:03" " 0:00:03" 0
"23/Oct/22 10:03" " 0:00:04" " 0:00:03" " 0:00:04" 0
"23/Oct/22 10:34" " 0:00:04" " 0:00:03" " 0:00:03" 0
"23/Oct/22 11:04" " 0:00:04" " 0:00:03" " 0:00:04" 0
"23/Oct/22 11:34" " 0:00:07" " 0:00:03" " 0:00:04" 0
"23/Oct/22 12:05" " 0:00:11" " 0:00:08" " 0:00:10" 0
"23/Oct/22 12:36" " 0:00:06" " 0:00:05" " 0:00:05" 0
"23/Oct/22 13:06" " 0:00:06" " 0:00:04" " 0:00:04" 0
"23/Oct/22 13:36" " 0:00:05" " 0:00:03" " 0:00:04" 0
"23/Oct/22 14:07" " 0:00:05" " 0:00:04" " 0:00:04" 0
"23/Oct/22 14:37" " 0:00:04" " 0:00:03" " 0:00:03" 0
"23/Oct/22 15:08" " 0:00:06" " 0:00:03" " 0:00:04" 0
"23/Oct/22 15:38" " 0:00:06" " 0:00:04" " 0:00:05" 0
"23/Oct/22 16:08" " 0:00:06" " 0:00:03" " 0:00:04" 0
"23/Oct/22 16:39" " 0:00:04" " 0:00:03" " 0:00:03" 0
"23/Oct/22 17:09" " 0:00:04" " 0:00:02" " 0:00:03" 0
"23/Oct/22 17:39" " 0:00:04" " 0:00:02" " 0:00:03" 0
"23/Oct/22 18:10" " 0:00:04" " 0:00:03" " 0:00:03" 0
"23/Oct/22 18:40" " 0:00:04" " 0:00:03" " 0:00:03" 0
"23/Oct/22 19:10" " 0:00:04" " 0:00:03" " 0:00:04" 0
"23/Oct/22 19:41" " 0:00:04" " 0:00:03" " 0:00:03" 0
"23/Oct/22 20:11" " 0:00:04" " 0:00:02" " 0:00:03" 0
"23/Oct/22 20:41" " 0:00:03" " 0:00:02" " 0:00:03" 0
"23/Oct/22 21:12" " 0:00:04" " 0:00:02" " 0:00:03" 0
"23/Oct/22 21:42" " 0:00:04" " 0:00:02" " 0:00:03" 0
"23/Oct/22 22:12" " 0:00:04" " 0:00:02" " 0:00:03" 0
"23/Oct/22 22:43" " 0:00:04" " 0:00:02" " 0:00:03" 0
"23/Oct/22 23:13" " 0:00:04" " 0:00:02" " 0:00:03" 0
"23/Oct/22 23:43" " 0:00:04" " 0:00:03" " 0:00:03" 0
"24/Oct/22 00:13" " 0:00:04" " 0:00:02" " 0:00:03" 0
"24/Oct/22 00:44" " 0:00:04" " 0:00:03" " 0:00:04" 0
"24/Oct/22 01:14" " 0:00:04" " 0:00:03" " 0:00:03" 0
"24/Oct/22 01:44" " 0:00:04" " 0:00:02" " 0:00:03" 0
"24/Oct/22 02:15" " 0:00:04" " 0:00:02" " 0:00:03" 0
"24/Oct/22 02:45" " 0:00:04" " 0:00:03" " 0:00:03" 0
"24/Oct/22 03:15" " 0:00:04" " 0:00:02" " 0:00:03" 0
"24/Oct/22 03:46" " 0:00:04" " 0:00:02" " 0:00:03" 0
"24/Oct/22 04:16" " 0:00:04" " 0:00:03" " 0:00:03" 0
"24/Oct/22 04:46" " 0:00:04" " 0:00:02" " 0:00:03" 0
"24/Oct/22 05:17" " 0:00:04" " 0:00:03" " 0:00:04" 0
"24/Oct/22 05:47" " 0:00:04" " 0:00:03" " 0:00:03" 0
"24/Oct/22 06:17" " 0:00:04" " 0:00:02" " 0:00:03" 0
"24/Oct/22 06:48" " 0:00:04" " 0:00:02" " 0:00:03" 0
"24/Oct/22 07:18" " 0:00:04" " 0:00:02" " 0:00:03" 0
"24/Oct/22 07:48" " 0:00:04" " 0:00:02" " 0:00:03" 0
"24/Oct/22 08:18" " 0:00:04" " 0:00:02" " 0:00:03" 0
